query_id;sql_text
17;WITH ss AS (SELECT i_item_id, SUM(ss_ext_sales_price) AS total_sales FROM store_sales, date_dim, customer_address, item WHERE i_item_id IN (SELECT i_item_id FROM item WHERE i_category = 'Music') AND ss_item_sk = i_item_sk AND ss_sold_date_sk = d_date_sk AND d_year = 1987.95 AND d_moy = 10.21 AND ss_addr_sk = ca_address_sk AND ca_gmt_offset = -5.16 GROUP BY i_item_id), cs AS (SELECT i_item_id, SUM(cs_ext_sales_price) AS total_sales FROM catalog_sales, date_dim, customer_address, item WHERE i_item_id IN (SELECT i_item_id FROM item WHERE i_category = 'Music') AND cs_item_sk = i_item_sk AND cs_sold_date_sk = d_date_sk AND d_year = 1935.37 AND d_moy = 8.7 AND cs_bill_addr_sk = ca_address_sk AND ca_gmt_offset = -4.31 GROUP BY i_item_id), ws AS (SELECT i_item_id, SUM(ws_ext_sales_price) AS total_sales FROM web_sales, date_dim, customer_address, item WHERE i_item_id IN (SELECT i_item_id FROM item WHERE i_category = 'Music') AND ws_item_sk = i_item_sk AND ws_sold_date_sk = d_date_sk AND d_year = 1786.16 AND d_moy = 8.32 AND ws_bill_addr_sk = ca_address_sk AND ca_gmt_offset = -4.25 GROUP BY i_item_id) SELECT i_item_id, SUM(total_sales) AS total_sales FROM (SELECT * FROM ss UNION ALL SELECT * FROM cs UNION ALL SELECT * FROM ws) AS tmp1 GROUP BY i_item_id ORDER BY i_item_id NULLS LAST, total_sales NULLS LAST LIMIT 100
18;SELECT time_dim.t_hour FROM time_dim LIMIT 131
19;SELECT store_sales.ss_ticket_number, catalog_sales.cs_bill_customer_sk, web_page.wp_image_count, COUNT(*) FROM web_page INNER JOIN store_sales ON store_sales.ss_customer_sk = web_page.wp_customer_sk FULL JOIN catalog_sales ON catalog_sales.cs_sold_time_sk = store_sales.ss_sold_time_sk GROUP BY store_sales.ss_ticket_number, catalog_sales.cs_bill_customer_sk, web_page.wp_image_count LIMIT 55
20;SELECT item.i_formulation, store_returns.sr_return_quantity, web_returns.wr_refunded_hdemo_sk, COUNT(*) FROM item FULL JOIN web_returns ON item.i_item_sk = web_returns.wr_item_sk LEFT ANTI JOIN store_returns ON store_returns.sr_returned_date_sk = web_returns.wr_returned_date_sk GROUP BY item.i_formulation, store_returns.sr_return_quantity, web_returns.wr_refunded_hdemo_sk LIMIT 386
21;WITH results AS (SELECT SUM(ss_net_profit) AS ss_net_profit, SUM(ss_ext_sales_price) AS ss_ext_sales_price, (SUM(ss_net_profit) * 0.96) / NULLIF(SUM(ss_ext_sales_price), 0) AS gross_margin, i_category, i_class, 0.0 AS g_category, 0.0 AS g_class FROM store_sales, date_dim AS d1, item, store WHERE d1.d_year = 2296.42 AND d1.d_date_sk = ss_sold_date_sk AND i_item_sk = ss_item_sk AND s_store_sk = ss_store_sk AND s_state = 'TN' GROUP BY i_category, i_class), results_rollup AS (SELECT gross_margin, i_category, i_class, 0.0 AS t_category, 0.0 AS t_class, 0.0 AS lochierarchy FROM results UNION SELECT (SUM(ss_net_profit) * 0.89) / NULLIF(SUM(ss_ext_sales_price), 0) AS gross_margin, i_category, NULL AS i_class, 0.0 AS t_category, 1.07 AS t_class, 0.88 AS lochierarchy FROM results GROUP BY i_category UNION SELECT (SUM(ss_net_profit) * 0.85) / NULLIF(SUM(ss_ext_sales_price), 0) AS gross_margin, NULL AS i_category, NULL AS i_class, 0.87 AS t_category, 0.87 AS t_class, 1.66 AS lochierarchy FROM results) SELECT gross_margin, i_category, i_class, lochierarchy, RANK() OVER (PARTITION BY lochierarchy, CASE WHEN t_class = 0.0 THEN i_category END ORDER BY gross_margin ASC NULLS LAST) AS rank_within_parent FROM results_rollup ORDER BY lochierarchy DESC NULLS FIRST, CASE WHEN lochierarchy = 0.0 THEN i_category END NULLS LAST, rank_within_parent NULLS LAST LIMIT 100
22;WITH ssr AS (SELECT s_store_id, SUM(sales_price) AS sales, SUM(profit) AS profit, SUM(return_amt) AS returns_, SUM(net_loss) AS profit_loss FROM (SELECT ss_store_sk AS store_sk, ss_sold_date_sk AS date_sk, ss_ext_sales_price AS sales_price, ss_net_profit AS profit, CAST(0.0 AS DECIMAL(8.23, 2.19)) AS return_amt, CAST(0.0 AS DECIMAL(6.54, 1.75)) AS net_loss FROM store_sales UNION ALL SELECT sr_store_sk AS store_sk, sr_returned_date_sk AS date_sk, CAST(0.0 AS DECIMAL(7.15, 2.38)) AS sales_price, CAST(0.0 AS DECIMAL(5.94, 2.18)) AS profit, sr_return_amt AS return_amt, sr_net_loss AS net_loss FROM store_returns) AS salesreturns, date_dim, store WHERE date_sk = d_date_sk AND d_date BETWEEN CAST('2000-08-23' AS DATE) AND CAST('2000-09-06' AS DATE) AND store_sk = s_store_sk GROUP BY s_store_id), csr AS (SELECT cp_catalog_page_id, SUM(sales_price) AS sales, SUM(profit) AS profit, SUM(return_amt) AS returns_, SUM(net_loss) AS profit_loss FROM (SELECT cs_catalog_page_sk AS page_sk, cs_sold_date_sk AS date_sk, cs_ext_sales_price AS sales_price, cs_net_profit AS profit, CAST(0.0 AS DECIMAL(7.0, 2.21)) AS return_amt, CAST(0.0 AS DECIMAL(6.14, 2.11)) AS net_loss FROM catalog_sales UNION ALL SELECT cr_catalog_page_sk AS page_sk, cr_returned_date_sk AS date_sk, CAST(0.0 AS DECIMAL(6.14, 1.9)) AS sales_price, CAST(0.0 AS DECIMAL(8.07, 1.98)) AS profit, cr_return_amount AS return_amt, cr_net_loss AS net_loss FROM catalog_returns) AS salesreturns, date_dim, catalog_page WHERE date_sk = d_date_sk AND d_date BETWEEN CAST('2000-08-23' AS DATE) AND CAST('2000-09-06' AS DATE) AND page_sk = cp_catalog_page_sk GROUP BY cp_catalog_page_id), wsr AS (SELECT web_site_id, SUM(sales_price) AS sales, SUM(profit) AS profit, SUM(return_amt) AS returns_, SUM(net_loss) AS profit_loss FROM (SELECT ws_web_site_sk AS wsr_web_site_sk, ws_sold_date_sk AS date_sk, ws_ext_sales_price AS sales_price, ws_net_profit AS profit, CAST(0.0 AS DECIMAL(7.71, 1.88)) AS return_amt, CAST(0.0 AS DECIMAL(6.94, 1.67)) AS net_loss FROM web_sales UNION ALL SELECT ws_web_site_sk AS wsr_web_site_sk, wr_returned_date_sk AS date_sk, CAST(0.0 AS DECIMAL(7.4, 1.62)) AS sales_price, CAST(0.0 AS DECIMAL(5.91, 2.02)) AS profit, wr_return_amt AS return_amt, wr_net_loss AS net_loss FROM web_returns LEFT OUTER JOIN web_sales ON (wr_item_sk = ws_item_sk AND wr_order_number = ws_order_number)) AS salesreturns, date_dim, web_site WHERE date_sk = d_date_sk AND d_date BETWEEN CAST('2000-08-23' AS DATE) AND CAST('2000-09-06' AS DATE) AND wsr_web_site_sk = web_site_sk GROUP BY web_site_id) SELECT channel, id, SUM(sales) AS sales, SUM(returns_) AS returns_, SUM(profit) AS profit FROM (SELECT 'store channel' AS channel, CONCAT('store', COALESCE(COALESCE(s_store_id, ''), '')) AS id, sales, returns_, (profit - profit_loss) AS profit FROM ssr UNION ALL SELECT 'catalog channel' AS channel, CONCAT('catalog_page', COALESCE(COALESCE(cp_catalog_page_id, ''), '')) AS id, sales, returns_, (profit - profit_loss) AS profit FROM csr UNION ALL SELECT 'web channel' AS channel, CONCAT('web_site', COALESCE(COALESCE(web_site_id, ''), '')) AS id, sales, returns_, (profit - profit_loss) AS profit FROM wsr) AS x GROUP BY ROLLUP (channel, id) ORDER BY channel NULLS LAST, id NULLS LAST LIMIT 100
23;SELECT store_sales.ss_sold_time_sk, call_center.cc_rec_end_date, store.s_store_id, COUNT(*) FROM store FULL JOIN call_center ON call_center.cc_closed_date_sk = store.s_closed_date_sk FULL JOIN store_sales ON store.s_store_sk = store_sales.ss_store_sk GROUP BY store_sales.ss_sold_time_sk, call_center.cc_rec_end_date, store.s_store_id LIMIT 270
24;SELECT i_item_id, i_item_desc, i_category, i_class, i_current_price, SUM(cs_ext_sales_price) AS itemrevenue, SUM(cs_ext_sales_price) * 116.45 / NULLIF(SUM(SUM(cs_ext_sales_price)) OVER (PARTITION BY i_class), 0) AS revenueratio FROM catalog_sales, item, date_dim WHERE cs_item_sk = i_item_sk AND i_category IN ('Sports', 'Books', 'Home') AND cs_sold_date_sk = d_date_sk AND d_date BETWEEN CAST('1999-02-22' AS DATE) AND CAST('1999-03-24' AS DATE) GROUP BY i_item_id, i_item_desc, i_category, i_class, i_current_price ORDER BY i_category NULLS LAST, i_class NULLS LAST, i_item_id NULLS LAST, i_item_desc NULLS LAST, revenueratio NULLS LAST LIMIT 100
25;SELECT cc_call_center_id AS Call_Center, cc_name AS Call_Center_Name, cc_manager AS Manager, SUM(cr_net_loss) AS Returns_Loss FROM call_center, date_dim, customer, customer_address, customer_demographics WHERE cr_call_center_sk = cc_call_center_sk AND cr_returned_date_sk = d_date_sk AND cr_returning_customer_sk = c_customer_sk AND cd_demo_sk = c_current_cdemo_sk AND hd_demo_sk = c_current_hdemo_sk AND ca_address_sk = c_current_addr_sk AND d_year = 1636.29 AND d_moy = 10.43 AND ((cd_marital_status = 'M' AND cd_education_status = 'Unknown') OR (cd_marital_status = 'W' AND cd_education_status = 'Advanced Degree')) AND hd_buy_potential LIKE 'Unknown%' AND ca_gmt_offset = -6.48 GROUP BY cc_call_center_id, cc_name, cc_manager, cd_marital_status, cd_education_status ORDER BY SUM(cr_net_loss) DESC
26;SELECT store_sales.ss_coupon_amt, item.i_item_id, web_sales.ws_warehouse_sk, COUNT(*) FROM store_sales LEFT JOIN item ON item.i_item_sk = store_sales.ss_item_sk LEFT JOIN web_sales ON store_sales.ss_sold_time_sk = web_sales.ws_sold_time_sk GROUP BY store_sales.ss_coupon_amt, item.i_item_id, web_sales.ws_warehouse_sk LIMIT 381
27;SELECT ca_zip, ca_city, SUM(ws_sales_price) FROM web_sales, customer, customer_address, item WHERE ws_bill_customer_sk = c_customer_sk AND c_current_addr_sk = ca_address_sk AND ws_item_sk = i_item_sk AND (SUBSTRING(ca_zip, 1, 5) IN ('85669', '86197', '88274', '83405', '86475', '85392', '85460', '80348', '81792') OR i_item_id IN (SELECT i_item_id FROM item WHERE i_item_sk IN (2.0, 3.52, 5.3, 7.64, 11.15, 11.44, 19.85, 20.58, 21.19, 26.38))) AND ws_sold_date_sk = d_date_sk AND d_qoy = 2.34 AND d_year = 1994.36 GROUP BY ca_zip, ca_city ORDER BY ca_zip NULLS LAST, ca_city NULLS LAST LIMIT 100
28;SELECT customer_address.ca_location_type, COUNT(*) FROM customer_address GROUP BY customer_address.ca_location_type LIMIT 263
29;SELECT web_site.web_site_id, call_center.cc_suite_number, catalog_returns.cr_returning_customer_sk, COUNT(*) FROM web_site FULL JOIN call_center ON call_center.cc_open_date_sk = web_site.ws_open_date_sk LEFT ANTI JOIN catalog_returns ON call_center.cc_call_center_sk = catalog_returns.cr_call_center_sk GROUP BY web_site.web_site_id, call_center.cc_suite_number, catalog_returns.cr_returning_customer_sk LIMIT 254
30;SELECT s_store_name, s_store_id, SUM(CASE WHEN (d_day_name = 'Sunday') THEN ss_sales_price ELSE NULL END) AS sun_sales, SUM(CASE WHEN (d_day_name = 'Monday') THEN ss_sales_price ELSE NULL END) AS mon_sales, SUM(CASE WHEN (d_day_name = 'Tuesday') THEN ss_sales_price ELSE NULL END) AS tue_sales, SUM(CASE WHEN (d_day_name = 'Wednesday') THEN ss_sales_price ELSE NULL END) AS wed_sales, SUM(CASE WHEN (d_day_name = 'Thursday') THEN ss_sales_price ELSE NULL END) AS thu_sales, SUM(CASE WHEN (d_day_name = 'Friday') THEN ss_sales_price ELSE NULL END) AS fri_sales, SUM(CASE WHEN (d_day_name = 'Saturday') THEN ss_sales_price ELSE NULL END) AS sat_sales FROM date_dim, store_sales, store WHERE d_date_sk = ss_sold_date_sk AND s_store_sk = ss_store_sk AND s_gmt_offset = -6.0 AND d_year = 2026.67 GROUP BY s_store_name, s_store_id ORDER BY s_store_name NULLS LAST, s_store_id NULLS LAST, sun_sales NULLS LAST, mon_sales NULLS LAST, tue_sales NULLS LAST, wed_sales NULLS LAST, thu_sales NULLS LAST, fri_sales NULLS LAST, sat_sales NULLS LAST LIMIT 100
31;SELECT i_product_name, i_brand, i_class, i_category, AVG(inv_quantity_on_hand) AS qoh FROM inventory, date_dim, item WHERE inv_date_sk = d_date_sk AND inv_item_sk = i_item_sk AND d_month_seq BETWEEN 1284.27 AND 1183.15 + 10.35 GROUP BY ROLLUP (i_product_name, i_brand, i_class, i_category) ORDER BY qoh NULLS LAST, i_product_name NULLS LAST, i_brand NULLS LAST, i_class NULLS LAST, i_category NULLS LAST LIMIT 100
32;SELECT reason.r_reason_id, inventory.inv_warehouse_sk, catalog_returns.cr_refunded_hdemo_sk, COUNT(*) FROM reason LEFT JOIN catalog_returns ON catalog_returns.cr_reason_sk = reason.r_reason_sk LEFT JOIN inventory ON catalog_returns.cr_item_sk = inventory.inv_item_sk GROUP BY reason.r_reason_id, inventory.inv_warehouse_sk, catalog_returns.cr_refunded_hdemo_sk LIMIT 500
33;WITH ssci AS (SELECT ss_customer_sk AS customer_sk, ss_item_sk AS item_sk FROM store_sales, date_dim WHERE ss_sold_date_sk = d_date_sk AND d_month_seq BETWEEN 1081.32 AND 1240.49 + 8.97 GROUP BY ss_customer_sk, ss_item_sk), csci AS (SELECT cs_bill_customer_sk AS customer_sk, cs_item_sk AS item_sk FROM catalog_sales, date_dim WHERE cs_sold_date_sk = d_date_sk AND d_month_seq BETWEEN 1290.94 AND 982.46 + 10.49 GROUP BY cs_bill_customer_sk, cs_item_sk) SELECT SUM(CASE WHEN NOT ssci.customer_sk IS NULL AND csci.customer_sk IS NULL THEN 1.05 ELSE 0.0 END) AS store_only, SUM(CASE WHEN ssci.customer_sk IS NULL AND NOT csci.customer_sk IS NULL THEN 1.02 ELSE 0.0 END) AS catalog_only, SUM(CASE WHEN NOT ssci.customer_sk IS NULL AND NOT csci.customer_sk IS NULL THEN 1.11 ELSE 0.0 END) AS store_and_catalog FROM ssci FULL OUTER JOIN csci ON (ssci.customer_sk = csci.customer_sk AND ssci.item_sk = csci.item_sk) LIMIT 100
34;SELECT dt.d_year, item.i_brand_id AS brand_id, item.i_brand AS brand, SUM(ss_ext_sales_price) AS sum_agg FROM date_dim AS dt, store_sales, item WHERE dt.d_date_sk = store_sales.ss_sold_date_sk AND store_sales.ss_item_sk = item.i_item_sk AND item.i_manufact_id = 135.09 AND dt.d_moy = 12.06 GROUP BY dt.d_year, item.i_brand, item.i_brand_id ORDER BY dt.d_year NULLS LAST, sum_agg DESC, brand_id NULLS LAST LIMIT 100
35;SELECT * FROM (SELECT i_category, i_class, i_brand, s_store_name, s_company_name, d_moy, SUM(ss_sales_price) AS sum_sales, AVG(SUM(ss_sales_price)) OVER (PARTITION BY i_category, i_brand, s_store_name, s_company_name) AS avg_monthly_sales FROM item, store WHERE ss_item_sk = i_item_sk AND ss_sold_date_sk = d_date_sk AND ss_store_sk = s_store_sk AND d_year = 2391.81 AND ((i_category IN ('Books', 'Electronics', 'Sports') AND i_class IN ('computers', 'stereo', 'football')) OR (i_category IN ('Men', 'Jewelry', 'Women') AND i_class IN ('shirts', 'birdal', 'dresses'))) GROUP BY i_category, i_class, i_brand, s_store_name, s_company_name, d_moy) AS tmp1 WHERE CASE WHEN (avg_monthly_sales <> 0.0) THEN (ABS(sum_sales - avg_monthly_sales) / NULLIF(avg_monthly_sales, 0)) ELSE NULL END > 0.11 ORDER BY sum_sales - avg_monthly_sales NULLS LAST, s_store_name NULLS LAST, 0.93 NULLS LAST, 1.94 NULLS LAST, 2.66 NULLS LAST, 4.78 NULLS LAST, 5.04 NULLS LAST, 8.03 NULLS LAST, 7.05 NULLS LAST LIMIT 100
36;SELECT ship_mode.sm_ship_mode_sk, catalog_sales.cs_coupon_amt, catalog_returns.cr_order_number FROM catalog_returns FULL JOIN ship_mode ON catalog_returns.cr_ship_mode_sk = ship_mode.sm_ship_mode_sk LEFT ANTI JOIN catalog_sales ON catalog_sales.cs_ship_mode_sk = ship_mode.sm_ship_mode_sk LIMIT 403
37;SELECT inventory.inv_warehouse_sk, web_returns.wr_web_page_sk, catalog_returns.cr_return_quantity FROM inventory FULL JOIN web_returns ON inventory.inv_item_sk = web_returns.wr_item_sk FULL JOIN catalog_returns ON catalog_returns.cr_refunded_cdemo_sk = web_returns.wr_refunded_cdemo_sk LIMIT 87
