;query_id;query_hash;sf;sql_text;target_work_mem_mb;target_max_parallel_workers_per_gather;target_jit;target_enable_hashjoin;target_enable_indexscan;target_enable_nestloop;feature_total_cost;feature_plan_rows;feature_plan_width;feature_num_joins;feature_num_scans;feature_num_aggs;feature_num_sorts;feature_num_filters;feature_num_index_scans;feature_num_mem_nodes;feature_total_scan_size_bytes;feature_max_node_cost;metric_duration_ms;metric_actual_rows;metric_temp_written_blocks;metric_shared_hit_blocks;metric_shared_read_blocks;metric_peak_memory_mb;metric_max_log_planner_error;strat_label
11;12;a139537ed7b204d3ebbf52510f6273b4;10;SELECT store_sales.* FROM store_sales JOIN customer ON store_sales.ss_customer_sk = customer.c_customer_sk JOIN date_dim ON store_sales.ss_sold_date_sk = date_dim.d_date_sk LIMIT 215;14;4;on;on;on;off;2983471.78;28801880;155;2;3;0;0;0;0;4;30916608;2983471.78;39.134;500000;0;67604;14934;0.0;5.1;J1_I1_H1_D4
12;13;dd65753d2c94bda7cc4e46c5315d173a;10;SELECT catalog_sales.* FROM catalog_sales JOIN item ON catalog_sales.cs_item_sk = item.i_item_sk JOIN date_dim ON catalog_sales.cs_sold_date_sk = date_dim.d_date_sk LIMIT 274;254;0;on;on;on;off;19305974.75;14320654;242;2;3;0;0;0;1;0;0;19305974.75;11.95;73049;0;8116;1020;3878.0;4.7;J1_I1_H1_D0
13;14;6b7d7ee99580e0e71392e935aa411ee7;10;SELECT store_returns.* FROM store_returns JOIN customer ON store_returns.sr_customer_sk = customer.c_customer_sk LIMIT 482;18;0;off;off;on;on;607513.0;2779125;142;1;2;0;0;0;1;0;2899968;607513.0;0.481;522;0;1845;0;0.0;3.8;J0_I1_H0_D0
14;15;64feba10a22eb8edf704a4f88300960b;10;SELECT web_returns.* FROM web_returns JOIN customer ON web_returns.wr_refunded_customer_sk = customer.c_customer_sk LIMIT 311;14;2;on;on;on;on;97223.39;719222;174;1;2;0;0;0;0;2;80158720;97223.39;40.126;500001;0;16552;43509;0.0;3.3;J1_I1_H1_D2
15;16;718d621c4fe7601726081160fb87abad;10;SELECT catalog_sales.* FROM catalog_sales JOIN customer ON catalog_sales.cs_bill_customer_sk = customer.c_customer_sk LIMIT 73;65;0;off;off;on;on;11775255.38;14331215;242;1;2;0;0;0;1;0;122880;11775255.38;0.085;73;0;78;0;0.0;5.3;J0_I1_H0_D0
16;17;cbdee009abfffec1077e46c80ccc835a;10;SELECT catalog_sales.* FROM catalog_sales JOIN warehouse ON catalog_sales.cs_warehouse_sk = warehouse.w_warehouse_sk JOIN date_dim ON catalog_sales.cs_sold_date_sk = date_dim.d_date_sk LIMIT 153;510;0;on;on;on;off;18422932.72;14320654;242;2;3;0;0;0;1;0;0;18422932.72;10.599;73049;0;10042;0;3887.0;5.0;J1_I1_H1_D0
17;18;10dcfbbe3bc744f696e1d15839e5085c;10;SELECT store_returns.* FROM store_returns JOIN date_dim ON store_returns.sr_returned_date_sk = date_dim.d_date_sk JOIN customer ON store_returns.sr_customer_sk = customer.c_customer_sk LIMIT 234;4;4;on;on;on;on;311618.75;2877735;142;2;3;0;0;0;0;4;31784960;311618.75;36.358;500000;0;61318;11330;0.0;4.1;J1_I1_H1_D4
18;20;41d50de0a4f96dcbb26084e5645cc5c4;10;SELECT web_returns.* FROM web_returns JOIN item ON web_returns.wr_item_sk = item.i_item_sk LIMIT 345;15;0;on;off;on;on;68017.57;719222;174;1;2;0;0;0;0;0;1761280;68017.57;2.004;345;0;2778;0;38.0;3.3;J1_I1_H0_D0
19;22;943db6e0437a3f817b06fc19b304a6e1;10;SELECT catalog_sales.* FROM catalog_sales JOIN date_dim ON catalog_sales.cs_sold_date_sk = date_dim.d_date_sk JOIN item ON catalog_sales.cs_item_sk = item.i_item_sk LIMIT 171;31;0;on;on;on;off;19305974.75;14320654;242;2;3;0;0;0;1;0;0;19305974.75;11.593;73049;0;8032;692;3878.0;4.9;J1_I1_H1_D0
20;23;692d76eedb3c9bdf69b8b04845bc4ee0;10;SELECT inventory.* FROM inventory JOIN warehouse ON inventory.inv_warehouse_sk = warehouse.w_warehouse_sk JOIN date_dim ON inventory.inv_date_sk = date_dim.d_date_sk LIMIT 456;64;0;off;on;on;on;5970148.93;133108696;28;2;3;0;0;0;0;4;57344;5970148.93;11.01;73049;0;8033;0;3887.0;5.5;J0_I1_H1_D0
21;24;ef0cc75ec160e5b680f53a4329cd6c4d;10;SELECT store_returns.* FROM store_returns JOIN date_dim ON store_returns.sr_returned_date_sk = date_dim.d_date_sk JOIN customer ON store_returns.sr_customer_sk = customer.c_customer_sk LIMIT 455;5;2;off;on;on;off;311618.75;2877735;142;2;3;0;0;0;0;4;34856960;311618.75;46.747;500001;0;13605;58470;0.0;3.8;J0_I1_H1_D2
22;25;d7100824d0dec973c4a8fafab61d4c1e;10;SELECT web_sales.* FROM web_sales JOIN customer ON web_sales.ws_bill_customer_sk = customer.c_customer_sk JOIN item ON web_sales.ws_item_sk = item.i_item_sk LIMIT 360;64;0;off;on;on;on;2905234.31;7197269;242;2;3;0;0;0;1;0;1998848;2905234.31;2.421;360;0;3336;0;40.0;4.3;J0_I1_H1_D0
23;26;b8031afa896e6d3c2eb6fdadaded3918;10;SELECT inventory.* FROM inventory JOIN item ON inventory.inv_item_sk = item.i_item_sk JOIN warehouse ON inventory.inv_warehouse_sk = warehouse.w_warehouse_sk LIMIT 231;64;0;off;on;on;on;17209656.51;133108696;28;2;3;0;0;0;0;2;24576;17209656.51;1.618;231;0;1869;0;35.0;5.8;J0_I1_H1_D0
24;27;a6ae83e2f5e6e6b7a0163b29fe1b0578;10;SELECT catalog_sales.* FROM catalog_sales JOIN item ON catalog_sales.cs_item_sk = item.i_item_sk JOIN date_dim ON catalog_sales.cs_sold_date_sk = date_dim.d_date_sk LIMIT 269;254;0;on;on;on;off;19305974.75;14320654;242;2;3;0;0;0;1;0;344064;19305974.75;12.223;73049;0;8068;1048;3878.0;4.7;J1_I1_H1_D0
25;28;03a1660a8a1e1428d28a4801c78e4c4d;10;SELECT web_returns.* FROM web_returns JOIN date_dim ON web_returns.wr_returned_date_sk = date_dim.d_date_sk JOIN customer ON web_returns.wr_refunded_customer_sk = customer.c_customer_sk LIMIT 51;129;4;on;on;on;off;108309.92;719222;174;2;3;0;0;0;0;4;97353728;108309.92;35.21;500000;0;13233;59400;0.0;4.1;J1_I1_H1_D4
26;29;e22e49598f159648d356b32e346d7107;10;SELECT store_sales.* FROM store_sales JOIN customer ON store_sales.ss_customer_sk = customer.c_customer_sk JOIN item ON store_sales.ss_item_sk = item.i_item_sk LIMIT 183;4;2;on;on;on;off;5535661.75;28801880;155;2;3;0;0;0;0;2;97370112;5535661.75;46.095;500001;0;6235;66955;0.0;5.2;J1_I1_H1_D2
27;30;69cdd83659d21b151901fbb9a309a3f3;10;SELECT catalog_sales.* FROM catalog_sales JOIN warehouse ON catalog_sales.cs_warehouse_sk = warehouse.w_warehouse_sk JOIN date_dim ON catalog_sales.cs_sold_date_sk = date_dim.d_date_sk LIMIT 274;15;0;off;on;on;off;18422932.72;14320654;242;2;3;0;0;0;1;0;106496;18422932.72;13.102;73049;0;10058;0;3887.0;4.7;J0_I1_H1_D0
28;31;734e538796c9d202be7d2bd09c070d09;10;SELECT store_sales.* FROM store_sales JOIN customer ON store_sales.ss_customer_sk = customer.c_customer_sk LIMIT 103;17;2;on;on;on;off;2669807.82;28801880;155;1;2;0;0;0;0;2;97419264;2669807.82;39.333;500001;0;3948;56053;0.0;5.4;J1_I1_H1_D2
29;32;00d2d0c22ec264d216538b83a980770c;10;SELECT web_sales.* FROM web_sales JOIN date_dim ON web_sales.ws_sold_date_sk = date_dim.d_date_sk JOIN web_site ON web_sales.ws_web_site_sk = web_site.web_site_sk LIMIT 137;16;0;off;on;on;off;9198152.61;7197029;242;2;3;0;0;0;1;0;147456;9198152.61;14.343;73049;0;10042;0;3888.0;4.7;J0_I1_H1_D0
30;33;13b9b9d596adf8a9ef83db525f402192;10;SELECT store_returns.* FROM store_returns JOIN item ON store_returns.sr_item_sk = item.i_item_sk LIMIT 198;4;0;off;on;on;off;188282.46;2877735;142;1;2;0;0;0;0;0;57344;188282.46;0.41;198;0;612;0;0.0;4.2;J0_I1_H1_D0
31;35;68181df5fe752a133175b8f2d533e87e;10;SELECT store_returns.* FROM store_returns JOIN date_dim ON store_returns.sr_returned_date_sk = date_dim.d_date_sk JOIN item ON store_returns.sr_item_sk = item.i_item_sk LIMIT 317;5;0;off;on;on;off;3201170.57;2776151;142;2;3;0;0;0;1;0;2506752;3201170.57;13.313;73049;0;8836;508;3878.0;3.9;J0_I1_H1_D0
32;36;6f9a87dcffeb0e2dccdcfade8bf09883;10;SELECT inventory.* FROM inventory JOIN item ON inventory.inv_item_sk = item.i_item_sk LIMIT 70;254;0;off;off;on;on;15379410.72;133108696;28;1;2;0;0;0;0;0;8192;15379410.72;1.658;70;0;567;0;8.0;6.3;J0_I1_H0_D0
33;37;5659bc900def5ed1f085143e2a3e2b2b;10;SELECT catalog_sales.* FROM catalog_sales JOIN date_dim ON catalog_sales.cs_sold_date_sk = date_dim.d_date_sk JOIN customer ON catalog_sales.cs_bill_customer_sk = customer.c_customer_sk LIMIT 392;4;2;on;on;on;on;2030855.24;14400819;242;2;3;0;0;0;0;4;72105984;2030855.24;47.958;500001;0;14446;57644;0.0;4.6;J1_I1_H1_D2
34;38;7df4684ad43c8ce0bb0340c6d2fada08;10;SELECT store_sales.* FROM store_sales JOIN item ON store_sales.ss_item_sk = item.i_item_sk JOIN date_dim ON store_sales.ss_sold_date_sk = date_dim.d_date_sk LIMIT 396;33;0;on;on;on;on;4147737.43;28801880;155;2;3;0;0;0;0;2;1761280;4147737.43;15.098;73049;0;13134;108;3922.0;4.8;J1_I1_H1_D0
35;39;d330b1760f9e36d1d786e6cafe11c3f5;10;SELECT store_returns.* FROM store_returns JOIN date_dim ON store_returns.sr_returned_date_sk = date_dim.d_date_sk LIMIT 181;14;0;on;off;on;off;3106726.06;2776151;142;1;2;0;0;0;1;0;1449984;3106726.06;12.224;73049;0;8560;0;0.0;4.2;J1_I1_H0_D0
36;40;cfc716557c9ed21e529fa52ecdaaf8d5;10;SELECT store_returns.* FROM store_returns JOIN customer ON store_returns.sr_customer_sk = customer.c_customer_sk JOIN date_dim ON store_returns.sr_returned_date_sk = date_dim.d_date_sk LIMIT 431;4;2;on;on;on;on;311618.75;2877735;142;2;3;0;0;0;0;4;91201536;311618.75;44.12;500001;0;13124;58941;0.0;3.8;J1_I1_H1_D2
37;41;0a9a53e973067198691643212e785f99;10;SELECT web_sales.* FROM web_sales JOIN date_dim ON web_sales.ws_sold_date_sk = date_dim.d_date_sk LIMIT 84;65;0;on;off;on;off;9018220.11;7197029;242;1;2;0;0;0;1;0;8085504;9018220.11;9.821;73049;0;8044;0;0.0;4.9;J1_I1_H0_D0
38;42;395cc60a69869da8291a85aef4af8166;10;SELECT web_returns.* FROM web_returns JOIN item ON web_returns.wr_item_sk = item.i_item_sk JOIN customer ON web_returns.wr_refunded_customer_sk = customer.c_customer_sk LIMIT 180;4;2;on;on;on;off;138927.42;719222;174;2;3;0;0;0;0;2;97705984;138927.42;46.549;500001;0;6248;66957;0.0;3.6;J1_I1_H1_D2
39;43;b4ad93b3a1ef611cdaadad9c576fd3e9;10;SELECT web_returns.* FROM web_returns JOIN item ON web_returns.wr_item_sk = item.i_item_sk LIMIT 165;62;0;off;on;on;on;68017.57;719222;174;1;2;0;0;0;0;0;0;68017.57;1.861;165;0;1342;0;19.0;3.6;J0_I1_H1_D0
40;44;ad4b02b0080181111fefefab01b5ed50;10;SELECT inventory.* FROM inventory JOIN date_dim ON inventory.inv_date_sk = date_dim.d_date_sk JOIN item ON inventory.inv_item_sk = item.i_item_sk LIMIT 232;5;0;on;on;on;on;17213548.61;133108696;28;2;3;0;0;0;0;2;24576;17213548.61;12.995;73049;0;11882;0;3904.0;5.8;J1_I1_H1_D0
41;45;3e7b0de16c1b3688a324adace7dd3c03;10;SELECT dt.d_year, item.i_category_id, item.i_category, SUM(ss_ext_sales_price) FROM date_dim AS dt, store_sales, item WHERE dt.d_date_sk = store_sales.ss_sold_date_sk AND store_sales.ss_item_sk = item.i_item_sk AND item.i_manager_id = 1.0 AND dt.d_moy = 10 AND dt.d_year = 2590 GROUP BY dt.d_year, item.i_category_id, item.i_category ORDER BY SUM(ss_ext_sales_price) DESC NULLS LAST, dt.d_year, item.i_category_id, item.i_category LIMIT 75;64;0;off;on;on;on;327929.11;510;54;2;3;1;2;2;1;3;0;327929.11;5.551;0;0;12030;0;0.0;2.7;J0_I1_H1_D0
42;46;4d1fe046526f0f673651218ec58fb262;10;SELECT catalog_sales.* FROM catalog_sales JOIN item ON catalog_sales.cs_item_sk = item.i_item_sk LIMIT 87;4;0;on;on;on;off;1239524.61;14400819;242;1;2;0;0;0;0;0;57344;1239524.61;0.923;87;0;18;261;0.0;5.2;J1_I1_H1_D0
43;47;b7bcb1ee8833facf523b2bdd1a1aa9e8;10;SELECT store_sales.* FROM store_sales JOIN date_dim ON store_sales.ss_sold_date_sk = date_dim.d_date_sk LIMIT 98;6;0;on;off;on;off;1352745.63;28801880;155;1;2;0;0;0;0;2;0;1352745.63;11.816;73049;0;8038;276;0.0;5.5;J1_I1_H0_D0
44;49;c1ff26898d7d00b010c9cc0960d7d79a;10;SELECT inventory.* FROM inventory JOIN warehouse ON inventory.inv_warehouse_sk = warehouse.w_warehouse_sk LIMIT 201;64;0;off;on;on;on;4136258.76;133108696;28;1;2;0;0;0;0;2;0;4136258.76;0.088;201;0;13;0;9.0;5.8;J0_I1_H1_D0
45;51;b825bf09536f8e0b4135713fdaa812d2;10;SELECT web_returns.* FROM web_returns JOIN item ON web_returns.wr_item_sk = item.i_item_sk LIMIT 59;66;0;on;off;on;on;68017.57;719222;174;1;2;0;0;0;0;0;0;68017.57;1.589;59;0;485;0;7.0;4.1;J1_I1_H0_D0
46;52;972c4e43d4d9fb9a58105086fef684dd;10;SELECT web_sales.* FROM web_sales JOIN item ON web_sales.ws_item_sk = item.i_item_sk JOIN date_dim ON web_sales.ws_sold_date_sk = date_dim.d_date_sk LIMIT 309;64;0;off;on;on;on;9314338.38;7197029;242;2;3;0;0;0;1;0;180224;9314338.38;22.716;35795;0;436016;0;34.0;4.4;J0_I1_H1_D0
47;54;790e794fc6af7f0f296592877cfb38ad;10;SELECT web_returns.* FROM web_returns JOIN customer ON web_returns.wr_refunded_customer_sk = customer.c_customer_sk JOIN date_dim ON web_returns.wr_returned_date_sk = date_dim.d_date_sk LIMIT 449;1024;2;on;on;on;on;108309.92;719222;174;2;3;0;0;0;0;4;65970176;108309.92;48.282;500001;0;35035;37040;0.0;3.2;J1_I1_H1_D2
48;55;8a6975d5663f11c14f777a81f9a554d2;10;SELECT catalog_sales.* FROM catalog_sales JOIN date_dim ON catalog_sales.cs_sold_date_sk = date_dim.d_date_sk JOIN warehouse ON catalog_sales.cs_warehouse_sk = warehouse.w_warehouse_sk LIMIT 133;4;0;off;on;on;off;18422932.72;14320654;242;2;3;0;0;0;1;0;65536;18422932.72;11.707;73049;0;10038;0;3887.0;5.0;J0_I1_H1_D0
49;56;a8fbad6f19e608d1559832869d1d5538;10;SELECT web_returns.* FROM web_returns JOIN date_dim ON web_returns.wr_returned_date_sk = date_dim.d_date_sk JOIN item ON web_returns.wr_item_sk = item.i_item_sk LIMIT 201;4;0;off;on;on;on;814116.26;685299;174;2;3;0;0;0;1;0;0;814116.26;22.816;35851;0;436496;0;22.0;3.5;J0_I1_H1_D0
50;57;cd183af6e484680c9f21fe2ce3702ccb;10;SELECT inventory.* FROM inventory JOIN warehouse ON inventory.inv_warehouse_sk = warehouse.w_warehouse_sk LIMIT 95;66;0;on;on;on;off;5633732.03;133108696;28;1;2;0;0;0;0;0;8192;5633732.03;0.071;95;0;10;0;9.0;6.1;J1_I1_H1_D0
51;59;8e2902d5d7267daeb721815215eb58de;10;SELECT store_sales.* FROM store_sales JOIN customer ON store_sales.ss_customer_sk = customer.c_customer_sk LIMIT 400;130;4;on;on;on;off;2669807.82;28801880;155;1;2;0;0;0;0;2;79060992;2669807.82;39.775;500000;0;21723;38926;0.0;4.8;J1_I1_H1_D4
52;60;e5ec4bfcd0524fb66da912d0f13ab6e8;10;SELECT inventory.* FROM inventory JOIN warehouse ON inventory.inv_warehouse_sk = warehouse.w_warehouse_sk JOIN item ON inventory.inv_item_sk = item.i_item_sk LIMIT 88;66;0;on;off;on;on;18707129.79;133108696;28;2;3;0;0;0;0;0;0;18707129.79;1.43;88;0;726;0;11.0;6.2;J1_I1_H0_D0
53;62;b3df3643b9aed6e26c8d8515d50ab8b5;10;SELECT inventory.* FROM inventory JOIN date_dim ON inventory.inv_date_sk = date_dim.d_date_sk LIMIT 479;4;0;on;on;on;on;4139903.13;133108696;28;1;2;0;0;0;0;2;0;4139903.13;11.523;73049;0;8023;0;3878.0;5.4;J1_I1_H1_D0
54;63;07c534f6b21cc02caf0595202d23c293;10;SELECT store_returns.* FROM store_returns JOIN customer ON store_returns.sr_customer_sk = customer.c_customer_sk LIMIT 240;4;0;on;on;on;on;607513.0;2779125;142;1;2;0;0;0;1;0;1499136;607513.0;0.409;240;0;966;0;0.0;4.1;J1_I1_H1_D0
55;64;08b3e1ecd1a21e4a4240995426cec8d7;10;SELECT inventory.* FROM inventory JOIN item ON inventory.inv_item_sk = item.i_item_sk JOIN date_dim ON inventory.inv_date_sk = date_dim.d_date_sk LIMIT 401;64;0;off;on;on;on;17213548.61;133108696;28;2;3;0;0;0;0;2;0;17213548.61;12.528;73049;0;13238;0;3922.0;5.5;J0_I1_H1_D0
56;65;b5395ff50f24542f4bdede31aa0f9063;10;SELECT web_returns.* FROM web_returns JOIN item ON web_returns.wr_item_sk = item.i_item_sk LIMIT 347;64;0;off;on;on;on;68017.57;719222;174;1;2;0;0;0;0;0;122880;68017.57;2.158;347;0;2791;0;38.0;3.3;J0_I1_H1_D0
57;66;c0eb98e3aa1ef035de124b82ed493f70;10;SELECT store_returns.* FROM store_returns JOIN date_dim ON store_returns.sr_returned_date_sk = date_dim.d_date_sk LIMIT 53;16;0;on;off;on;off;3106726.06;2776151;142;1;2;0;0;0;1;0;425984;3106726.06;11.496;73049;0;8176;0;0.0;4.7;J1_I1_H0_D0
58;68;868b26c59723206e581eacc37be43b79;10;SELECT web_sales.* FROM web_sales JOIN item ON web_sales.ws_item_sk = item.i_item_sk JOIN date_dim ON web_sales.ws_sold_date_sk = date_dim.d_date_sk LIMIT 141;254;0;off;on;on;off;9314338.38;7197029;242;2;3;0;0;0;1;0;147456;9314338.38;11.949;73049;0;8596;0;3878.0;4.7;J0_I1_H1_D0
59;69;09f791fecb181bb37e830680ad51d7c3;10;SELECT web_sales.* FROM web_sales JOIN customer ON web_sales.ws_bill_customer_sk = customer.c_customer_sk LIMIT 386;14;0;on;on;on;on;2609107.0;7197269;242;1;2;0;0;0;1;0;385024;2609107.0;0.253;386;0;372;0;0.0;4.3;J1_I1_H1_D0
60;70;92e8d7eed67645a83634b5479b9a788a;10;SELECT web_returns.* FROM web_returns JOIN customer ON web_returns.wr_refunded_customer_sk = customer.c_customer_sk JOIN date_dim ON web_returns.wr_returned_date_sk = date_dim.d_date_sk LIMIT 458;34;2;on;on;on;off;108309.92;719222;174;2;3;0;0;0;0;4;26656768;108309.92;48.303;500001;0;13490;58580;0.0;3.2;J1_I1_H1_D2
61;73;221694bcf976fbeae25f5bd29a1240b5;10;SELECT web_returns.* FROM web_returns JOIN item ON web_returns.wr_item_sk = item.i_item_sk LIMIT 82;64;0;off;on;on;on;68017.57;719222;174;1;2;0;0;0;0;0;557056;68017.57;1.421;82;0;672;0;9.0;3.9;J0_I1_H1_D0
62;74;bbf7ec91170456ba4d5abd16011350da;10;SELECT web_returns.* FROM web_returns JOIN date_dim ON web_returns.wr_returned_date_sk = date_dim.d_date_sk LIMIT 450;6;0;on;off;on;off;772449.99;685299;174;1;2;0;0;0;1;0;1294336;772449.99;13.01;73049;0;9364;0;0.0;3.2;J1_I1_H0_D0
63;76;fb9bb6be3157dd84638f2ed443408c0c;10;SELECT web_sales.* FROM web_sales JOIN item ON web_sales.ws_item_sk = item.i_item_sk JOIN customer ON web_sales.ws_bill_customer_sk = customer.c_customer_sk LIMIT 331;64;0;off;on;on;on;2905234.31;7197269;242;2;3;0;0;0;1;0;1515520;2905234.31;2.92;331;0;3080;0;37.0;4.3;J0_I1_H1_D0
64;77;c9043c893923bf1574da2cd43004406d;10;SELECT store_sales.* FROM store_sales JOIN date_dim ON store_sales.ss_sold_date_sk = date_dim.d_date_sk LIMIT 153;64;0;off;on;on;on;1352745.63;28801880;155;1;2;0;0;0;0;2;57344;1352745.63;16.753;73049;0;8023;0;3878.0;5.3;J0_I1_H1_D0
65;78;7b7be65415f9490504e6b68909a9ad46;10;SELECT store_returns.* FROM store_returns JOIN item ON store_returns.sr_item_sk = item.i_item_sk JOIN date_dim ON store_returns.sr_returned_date_sk = date_dim.d_date_sk LIMIT 224;4;2;off;on;on;off;3201170.57;2776151;142;2;3;0;0;0;1;0;1908736;3201170.57;13.687;73050;0;10966;0;3878.0;4.1;J0_I1_H1_D2
66;79;0cdc105c4e2d08c1d270b97004e199df;10;SELECT web_sales.* FROM web_sales JOIN item ON web_sales.ws_item_sk = item.i_item_sk JOIN customer ON web_sales.ws_bill_customer_sk = customer.c_customer_sk LIMIT 68;66;0;on;on;on;on;2905234.31;7197269;242;2;3;0;0;0;1;0;16384;2905234.31;1.558;68;0;684;0;8.0;5.0;J1_I1_H1_D0
67;80;08d0233593ffed0e5db9ce50eca77701;10;SELECT web_sales.* FROM web_sales JOIN date_dim ON web_sales.ws_sold_date_sk = date_dim.d_date_sk JOIN web_site ON web_sales.ws_web_site_sk = web_site.web_site_sk LIMIT 450;257;0;on;on;on;off;9198152.61;7197029;242;2;3;0;0;0;1;0;450560;9198152.61;15.272;73049;0;10018;124;3888.0;4.2;J1_I1_H1_D0
